"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\app.js", "JavaScript", -22, -6, -19, -47
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\constants.js", "JavaScript", -1, 0, -1, -2
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\db\index.js", "JavaScript", -15, 0, -4, -19
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\middlewares\auth.middleware.js", "JavaScript", -27, 0, -10, -37
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\middlewares\multer.middleware.js", "JavaScript", -15, -1, -5, -21
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\comment.models.js", "JavaScript", -26, 0, -5, -31
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\like.models.js", "JavaScript", -27, -26, -8, -61
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\playlist.models.js", "JavaScript", -29, -6, -11, -46
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\subscription.models.js", "JavaScript", -18, -1, -4, -23
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\tweet.models.js", "JavaScript", -18, -1, -10, -29
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\user.models.js", "JavaScript", -84, -1, -8, -93
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\models\video.models.js", "JavaScript", -51, 0, -4, -55
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\routes\user.routes.js", "JavaScript", -35, -4, -20, -59
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\server.js", "JavaScript", -18, -23, -25, -66
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\utils\ApiError.js", "JavaScript", -21, -2, -5, -28
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\utils\ApiResponse.js", "JavaScript", -15, -6, -3, -24
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\utils\asyncHandler.js", "JavaScript", -7, -12, -4, -23
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\utils\cloudinary.js", "JavaScript", -23, -6, -11, -40
"Total", "-", -452, -95, -157, -704
